tconst,averagerating_x,numvotes_x,primary_title_x,original_title_x,start_year_x,runtime_minutes_x,genres_x,Animation_x,Sport_x,Mystery_x,Action_x,Comedy_x,Documentary_x,Romance_x,News_x,War_x,Horror_x,Fantasy_x,Family_x,Music_x,Musical_x,Sci-Fi_x,History_x,Biography_x,Thriller_x,Crime_x,Adventure_x,Drama_x,id,release_date,title_x,vote_average_x,vote_count_x,Year_x,category,primary_name,birth_year,death_year,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,profit,id_y,release_date_y,title_y,vote_average_y,vote_count_y,Year_y,averagerating_y,numvotes_y,primary_title_y,original_title_y,start_year_y,runtime_minutes_y,genres_y,Animation_y,Sport_y,Mystery_y,Action_y,Comedy_y,Documentary_y,Romance_y,News_y,War_y,Horror_y,Fantasy_y,Family_y,Music_y,Musical_y,Sci-Fi_y,History_y,Biography_y,Thriller_y,Crime_y,Adventure_y,Drama_y
tt1687901,6.5,60215,The Awakening,The Awakening,2011,102.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,77949,2011-08-17,The Awakening,6.4,782,2011,writer,Stephen Volk,1954.0,,4,"Aug 17, 2012",The Awakening,4900000.0,95933.0,"$6,924,321",-4804067.0,77949,2011-08-17,The Awakening,6.4,782,2011,6.5,60215,The Awakening,The Awakening,2011,102.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509314,2018-03-04,The Box,8.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509306,2018-03-04,The Box,6.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509314,2018-03-04,The Box,8.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509316,2018-03-04,The Box,8.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509314,2018-03-04,The Box,8.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509314,2018-03-04,The Box,8.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509314,2018-03-04,The Box,8.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,565736,2018-05-21,The Box,10.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,565736,2018-05-21,The Box,10.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509306,2018-03-04,The Box,6.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,565736,2018-05-21,The Box,10.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509316,2018-03-04,The Box,8.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,565736,2018-05-21,The Box,10.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509314,2018-03-04,The Box,8.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,565736,2018-05-21,The Box,10.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,565736,2018-05-21,The Box,10.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509316,2018-03-04,The Box,8.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509306,2018-03-04,The Box,6.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509316,2018-03-04,The Box,8.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509316,2018-03-04,The Box,8.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt1728200,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509316,2018-03-04,The Box,8.0,1,2018,writer,Slavoljub Stankovic,,,66,"Nov 6, 2009",The Box,25000000.0,15051977.0,"$34,356,760",-9948023.0,509314,2018-03-04,The Box,8.0,1,2018,6.3,51,The Box,The Box,2011,89.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
