tconst,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,Animation,Sport,Mystery,Action,Comedy,Documentary,Romance,News,War,Horror,Fantasy,Family,Music,Musical,Sci-Fi,History,Biography,Thriller,Crime,Adventure,Drama,id,release_date,title,vote_average,vote_count,Year,category,primary_name,birth_year,death_year
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,263115,2017-03-03,Logan,7.8,12330,2017,writer,Scott Frank,1960.0,
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,263115,2017-03-03,Logan,7.8,12330,2017,writer,Michael Green,,
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,263115,2017-03-03,Logan,7.8,12330,2017,writer,Roy Thomas,1940.0,
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,263115,2017-03-03,Logan,7.8,12330,2017,writer,Len Wein,1948.0,2017.0
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,263115,2017-03-03,Logan,7.8,12330,2017,writer,John Romita Sr.,1930.0,
tt1485779,4.8,21,Sawblade,Sawblade,2010,91.0,Horror,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,433274,2010-01-01,Sawblade,2.0,1,2010,writer,Jeremiah Campbell,1977.0,
tt1498568,2.3,179,Red River,Red River,2011,77.0,Horror,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57817,2011-05-05,Red River,0.0,1,2011,writer,Gregory W. Brock,,
tt1498568,2.3,179,Red River,Red River,2011,77.0,Horror,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57817,2011-05-05,Red River,0.0,1,2011,writer,Paige Kay Davis,,
tt1499671,6.9,195,The Passage,The Passage,2011,85.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,550352,2018-01-23,The Passage,6.3,4,2018,writer,Denise Ping Lee,,
tt1500906,6.2,851,Vampires,Vampires,2010,88.0,"Comedy,Fantasy,Horror",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,487215,2010-08-08,Vampires,6.0,1,2010,writer,Frédérique Broos,1970.0,
tt1509241,6.1,22,I Sold My Soul to Satan,I Sold My Soul to Satan,2010,57.0,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253122,2010-08-27,I Sold My Soul to Satan,6.0,1,2010,writer,Kevin Poore,1967.0,
tt1509241,6.1,22,I Sold My Soul to Satan,I Sold My Soul to Satan,2010,57.0,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253122,2010-08-27,I Sold My Soul to Satan,6.0,1,2010,writer,Michael Albanese,,
tt1531930,5.0,578,The Lie,The Lie,2011,80.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74830,2011-11-18,The Lie,5.6,5,2011,writer,Mark Webber,1980.0,
tt1531930,5.0,578,The Lie,The Lie,2011,80.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74830,2011-11-18,The Lie,5.6,5,2011,writer,T. Coraghessan Boyle,1948.0,
tt1531930,5.0,578,The Lie,The Lie,2011,80.0,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74830,2011-11-18,The Lie,5.6,5,2011,writer,Jeff Feuerzeig,,
tt7945440,6.5,50,The Lie,Between Earth and Sky,2018,97.0,"Drama,Horror,Mystery",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,74830,2011-11-18,The Lie,5.6,5,2011,writer,Sebastian Ko,1971.0,
tt7945440,6.5,50,The Lie,Between Earth and Sky,2018,97.0,"Drama,Horror,Mystery",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,74830,2011-11-18,The Lie,5.6,5,2011,writer,Marcus Seibert,,
tt1533817,4.3,2137,Stomp the Yard 2: Homecoming,Stomp the Yard 2: Homecoming,2010,89.0,"Drama,Music",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,33473,2010-10-10,Stomp the Yard 2: Homecoming,4.7,48,2010,writer,Albert Leon,,
tt1533817,4.3,2137,Stomp the Yard 2: Homecoming,Stomp the Yard 2: Homecoming,2010,89.0,"Drama,Music",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,33473,2010-10-10,Stomp the Yard 2: Homecoming,4.7,48,2010,writer,Meena Payne,,
tt1545315,4.9,2593,Needle,Needle,2010,90.0,"Horror,Mystery,Thriller",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,49347,2010-10-09,Needle,5.1,24,2010,writer,Anthony Egan,,
tt1545315,4.9,2593,Needle,Needle,2010,90.0,"Horror,Mystery,Thriller",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,345343,2013-10-15,Needle,8.0,1,2013,writer,Anthony Egan,,
tt1547089,5.1,101,A Yakuza's Daughter Never Cries,Doch yakudzy,2010,81.0,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62780,2010-11-11,A Yakuza's Daughter Never Cries,3.0,2,2010,writer,Evgeniy Frolov,1962.0,2013.0
tt1557163,8.0,6,Bleed,Bleed,2010,,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388243,2016-03-25,Bleed,4.4,31,2016,writer,Matt Lawson,,
tt1557163,8.0,6,Bleed,Bleed,2010,,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388243,2016-03-25,Bleed,4.4,31,2016,writer,Amy Taylor,,
tt2948566,3.6,1499,Bleed,Bleed,2016,82.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,388243,2016-03-25,Bleed,4.4,31,2016,writer,Ben Jacoby,1976.0,
tt1562918,3.2,108,Wedding Day,Wedding Day,2012,85.0,"Drama,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,296472,2012-06-15,Wedding Day,5.0,1,2012,writer,Everette Wallin,1976.0,
tt1562918,3.2,108,Wedding Day,Wedding Day,2012,85.0,"Drama,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,296472,2012-06-15,Wedding Day,5.0,1,2012,writer,Natalie Howe,,
tt1568343,5.6,5905,The Humbling,The Humbling,2014,112.0,"Comedy,Drama,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254023,2015-01-23,The Humbling,5.3,60,2015,writer,Philip Roth,1933.0,2018.0
